default,Identifier,Remarks,hu,it,es esm
E1M3: Experimental Lab,CHUSTR_E1M3,,E1M3: Laboratorio Sperimentale,E1M3: Laboratorio Sperimentale,E1M3: Laboratorio Experimental
E1M4: Arboretum,CHUSTR_E1M4,,E1M4: Arboreto,E1M4: Arboreto,E1M4: Arboreto
E1M5: Caverns of Bazoik,CHUSTR_E1M5,,E1M5: Caverne di Bazoik,E1M5: Caverne di Bazoik,E1M5: Cavernas de Bazoik
"Mission accomplished.

Are you prepared for the next mission?






Press the escape key to continue...",CE1TEXT,,"Missione compiuta.

Sei pronto per la prossima missione?






Premi il tasto 'esc' per continuare...","Missione compiuta.

Sei pronto per la prossima missione?






Premi il tasto 'esc' per continuare...","Misión cumplida.

¿Estás preparad@[ao_esp] para la siguiente misión?




Presiona la tecla de escape para continuar..."
You've done it!,CE2TEXT,,Ce l'hai fatta!,Ce l'hai fatta!,¡Lo hiciste!
Wonderful Job!,CE3TEXT,,Meraviglioso!,Meraviglioso!,¡Maravilloso!
Fantastic,CE4TEXT,,Fantastico,Fantastico,¡Fantástico!
"You can't do load while in a net quest!

Press a key.",CLOADNET,,"Non puoi caricare una partita durante una netquest!

Premi un tasto.","Non puoi caricare una partita durante una netquest!

Premi un tasto.","¡No puedes cargar mientras estés en una aventura online!

Presiona una tecla."
"Quicksave over your quest named

'%s'?

Press Y or N.",QSPROMPT,,"Sovrascrivere il salvataggio

'%s'?

Premi Y oppure N.","Sovrascrivere il salvataggio

'%s'?

Premi Y oppure N.","¿Guardar sobre tu aventura llamada '%s'?

Presiona Y ó N."
"You can't quickload during a netquest!

Press a key.",QLOADNET,,"Non puoi fare un quickload durante una netquest!

Premi un tasto.","Non puoi fare un quickload durante una netquest!

Premi un tasto.","¡No puedes cargar una partida guardada durante una aventura online!

Presiona una tecla."
"Do you want to quickload the quest named

'%s'?

Press Y or N.",QLPROMPT,,"Vuoi fare un quickload della quest

'%s'?

Premi Y oppure N.","Vuoi fare un quickload della quest

'%s'?

Premi Y oppure N.","¿Quieres cargar la aventura llamada '%s'?

Presiona Y ó N."
"You can't start a new quest
while in a network quest.

Press a key.",CNEWGAME,,"Non puoi iniziare una nuova quest
durante una network quest.

Premi un tasto.","Non puoi iniziare una nuova quest
durante una network quest.

Premi un tasto.","No puedes iniciar una nueva aventura mientras estés en una aventura online.

Presiona una tecla."
"Careful, this will be tough.
Do you wish to continue?

Press Y or N.",CNIGHTMARE,,"Attento, sarà dura.
Vuoi continuare?

Premi Y oppure N.","Attento, sarà dura.
Vuoi continuare?

Premi Y oppure N.","Con cuidado, esto será duro.
¿Deseas continuar?

Presiona Y ó N."
"This is Chex(R) Quest. look for

future levels at www.chexquest.com.

Press a key.",CSWSTRING,,"Questo è Chex(R) Quest. cerca

i futuri livelli su www.chexquest.com

Premi un tasto.","Questo è Chex(R) Quest. cerca

i futuri livelli su www.chexquest.com

Premi un tasto.","Esto es Chex(R) Quest. Busca nuevos niveles en www.chexquest.com.

Presiona una tecla."
"You can't end a netquest!

Press a key.",NETEND,,"Non puoi terminare una netquest!

Premi un tasto.","Non puoi terminare una netquest!

Premi un tasto.","¡No puedes terminar una aventura online!

Presiona una tecla."
"Are you sure you want to end the quest?

Press Y or N.",ENDGAME,,"Sei sicuro di voler terminare la quest?

Premi Y oppure N.","Sei sicuro di voler terminare la quest?

Premi Y oppure N.","¿Estás segur@[ao_esp] que deseas terminar la aventura?

Presiona Y ó N."
Invincible Mode ON,STSTR_DQDON,,Modalità invincibile attivata,Modalità invincibile attivata,Modo invencible ACTIVADO
Invincible Mode OFF,STSTR_DQDOFF,,Modalità invincibile disattivata,Modalità invincibile disattivata,Modo invencible DESACTIVADO
Zorch Added,STSTR_FAADDED,,Zorch aggiunto,Zorch aggiunto,Zorch añadido
Super Zorch Added,STSTR_KFAADDED,,Super Zorch aggiunto,Super Zorch aggiunto,Súper Zorch añadido
... Eat Chex(R)!,STSTR_CHOPPERS,,... Mangia I Chex(R)!,... Mangia I Chex(R)!,... Come Chex(R)
Mini Zorch Charge,AMMO_CLIP,,Ricarica Mini Zorch,Ricarica Mini Zorch,Carga de Mini Zorch
Large Zorcher Charge,AMMO_SHELLS,,Ricarica Grande Zorch,Ricarica Grande Zorch,Carga de Zorcher Grande
Propulsor Charge,AMMO_ROCKETS,,Ricarica Propulsore,Ricarica Propulsore,Carga de Propulsor de Zorch
Phasing Zorcher Charge,AMMO_CELLS,,Ricarica Zorcher di Fase,Ricarica Zorcher di Fase,Carga de Zorcher de Fase
,,,,,
,,,,,
New Game,MNU_NEWGAME,,Nuova partita,Nuova partita,Nueva partida
Options,MNU_OPTIONS,,Opzioni,Opzioni,Opciones
Game Files,MNU_GAMEFILES,,File di gioco,File di gioco,Archivos del juego
Info,MNU_INFO,,Informazioni,Informazioni,Información
Quit Game,MNU_QUITGAME,,Esci dal gioco,Esci dal gioco,Salir del juego
Choose Skill Level:,MNU_CHOOSESKILL,,Livello di difficoltà:,Livello di difficoltà:,Elige nivel de dificultad:
I'm too young to die.,SKILL_BABY,,Troppo giovane per morire.,Troppo giovane per morire.,Soy muy joven para morir.
"Hey, not too rough.",SKILL_EASY,,"Ehi, non troppo duro!","Ehi, non troppo duro!","Oye, no seas tan duro."
Hurt me plenty.,SKILL_NORMAL,,Fammi molto male.,Fammi molto male.,Dame con todo.
Ultra-Violence.,SKILL_HARD,,Ultra-violenza.,Ultra-violenza.,Ultraviolencia.
Nightmare!,SKILL_NIGHTMARE,,Incubo!,Incubo!,¡Pesadilla!
Easy does it,CSKILL_BABY,,Facile no?,Facile no?,Así de fácil
Not so sticky,CSKILL_EASY,,"Non così appiccicoso
","Non così appiccicoso
",No tan pegajoso
Gobs of goo,CSKILL_NORMAL,,Sputi di sostanza,Sputi di sostanza,Montón de moco
Extreme Ooze,CSKILL_HARD,,Melma estrema,Melma estrema,Goteo extremo
Super Slimey!,CSKILL_NIGHTMARE,,Super Viscido!,Super Viscido!,¡Súper viscoso!
Training,SSKILL_BABY,,Allenamento,Allenamento,Práctica
Rookie,SSKILL_EASY,,Matricola,Matricola,Novato
Veteran,SSKILL_NORMAL,,Veterano,Veterano,Veterano
Elite,SSKILL_HARD,,,,Élite
Bloodbath,SSKILL_NIGHTMARE,,Bagno di sangue,Bagno di sangue,Baño de sangre
Thou needeth a Wet-Nurse,MNU_WETNURSE,,Necessiti di un'infermiera per neonati,Necessiti di un'infermiera per neonati,Necesitaréis una nodriza
Yellowbellies-R-Us,MNU_YELLOWBELLIES,,Codardo-tu-sei,Codardo-tu-sei,Somos pusilánimes
Bringest Them Oneth,MNU_BRINGEST,,Portali a me,Portali a me,Traédnoslos
Thou art a Smite-Meister,MNU_SMITE,,Sei un maestro assassino,Sei un maestro assassino,Sois un regicida
Black Plague Possesses Thee,MNU_BLACKPLAGUE,,La peste nera ti possiede,La peste nera ti possiede,La peste negra os posee
Squire,MNU_SQUIRE,,Scudiero,Scudiero,Escudero
Knight,MNU_KNIGHT,,Cavaliere,Cavaliere,Caballero
Warrior,MNU_WARRIOR,,Guerriero,Guerriero,Guerrero
Berserker,MNU_BERSERKER,,,,
Titan,MNU_TITAN,,Titano,Titano,Titán
Altar Boy,MNU_ALTARBOY,,Chirichetto,Chirichetto,Monaguillo
Acolyte,MNU_ACOLYTE,,Accolito,Accolito,Acólito
Priest,MNU_PRIEST,,Prete,Prete,Sacerdote
Cardinal,MNU_CARDINAL,,Cardinale,Cardinale,Cardenal
Pope,MNU_POPE,,Papa,Papa,Papa
Apprentice,MNU_APPRENTICE,,Apprendista,Apprendista,Aprendiz
Enchanter,MNU_ENCHANTER,,Incantatore,Incantatore,Encantador
Sorcerer,MNU_SORCERER,,Mago,Mago,Hechicero
Warlock,MNU_WARLOCK,,Stregone,Stregone,Brujo
Archmage,MNU_ARCHMAGE,,Arcimago,Arcimago,Archimago
Choose Class:,MNU_CHOOSECLASS,,Scegli la classe:,Scegli la classe:,Elige tu clase:
Fighter,MNU_FIGHTER,,Combattente,Combattente,Luchador
Cleric,MNU_CLERIC,,Chierico,Chierico,Clérigo
Mage,MNU_MAGE,,Mago,Mago,Mago
Random,MNU_RANDOM,,Casuale,Casuale,Al azar
Which Episode?,MNU_EPISODE,,Quale episodio?,Quale episodio?,¿Qué episodio?
Choose Campaign,MNU_EPISODE,,Scegli la campagna,Scegli la campagna,Selecciona una campaña
City of the Damned,MNU_COTD,,Città del dannato,Città del dannato,Ciudad de los condenados
Hell's Maw,MNU_HELLSMAW,,Lo Stomaco dell'Inferno,Lo Stomaco dell'Inferno,Fauces del infierno
The Dome of D'Sparil,MNU_DOME,,La Casa del D'Sparil,La Casa del D'Sparil,La Cúpula de D'Sparil
The Ossuary,MNU_OSSUARY,,L'Ossario,L'Ossario,El Osario
The Stagnant Demesne,MNU_DEMESNE,,La Proprietà terriera Stagnante,La Proprietà terriera Stagnante,La Heredad Estancada
,,,,,
Teamplay,GMPLYMNU_TEAMPLAY,,Gioco di squadra,Gioco di squadra,Juego por equipos
Team damage scalar,GMPLYMNU_TEAMDAMAGE,,Fattore danno da fuoco amico,Fattore danno da fuoco amico,Escalar de daño del equipo
Smart Autoaim,GMPLYMNU_SMARTAUTOAIM,,Mira automatica intelligente,Mira automatica intelligente,Autoapuntado inteligente
Falling damage,GMPLYMNU_FALLINGDAMAGE,,Danno da caduta,Danno da caduta,Daño por caída
Drop weapon,GMPLYMNU_DROPWEAPON,,"Arma lasciata cadere
","Arma lasciata cadere
",Arrojar arma
Double ammo,GMPLYMNU_DOUBLEAMMO,,Doppie munizioni,Doppie munizioni,Doble munición
Infinite ammo,GMPLYMNU_INFINITEAMMO,,Infinite munizioni,Infinite munizioni,Munición infinita
Infinite inventory,GMPLYMNU_INFINITEINVENTORY,,Infinito inventario,Infinito inventario,Inventario infinito
No monsters,GMPLYMNU_NOMONSTERS,,Nessun mostro,Nessun mostro,Sin monstruos
No monsters to exit,GMPLYMNU_NOMONSTERSTOEXIT,,Nessun mostro da uccidere per uscire,Nessun mostro da uccidere per uscire,Sin monstruos para salir
Monsters respawn,GMPLYMNU_MONSTERSRESPAWN,,Respawn mostri,Respawn mostri,Reaparecer enemigos
Monsters do not respawn,GMPLYMNU_NORESPAWN,,Nessun respawn,Nessun respawn,Sin reaparición
Items respawn,GMPLYMNU_ITEMSRESPAWN,,Respawn oggetti,Respawn oggetti,Reaparecer objetos
Big powerups respawn,GMPLYMNU_SUPERRESPAWN,,Respawn grandi potenziamenti,Respawn grandi potenziamenti,Reaparecer poderes grandes
Fast monsters,GMPLYMNU_FASTMONSTERS,,Mostri veloci,Mostri veloci,Monstruos rápidos
Monsters Nightmare Reflexes,GMPLYMNU_INSTANTREACTION,,,,Reflejos de los monsturos en Pesadilla
Degeneration,GMPLYMNU_DEGENERATION,,Degrado della salute,Degrado della salute,Degeneración
Allow Autoaim,GMPLYMNU_NOAUTOAIM,,Mira automatica consentita,Mira automatica consentita,Permitir autoapuntar
Allow Suicide,GMPLYMNU_ALLOWSUICIDE,,Suicidio consentito,Suicidio consentito,Permitir suicidio
Allow jump,GMPLYMNU_ALLOWJUMP,,Salto consentito,Salto consentito,Permitir salto
Allow crouch,GMPLYMNU_ALLOWCROUCH,,Abbassamento consentito,Abbassamento consentito,Permitir agacharse
Allow freelook,GMPLYMNU_ALLOWFREELOOK,,Sguardo libero consentito,Sguardo libero consentito,Permitir visión libre
Allow FOV,GMPLYMNU_ALLOWFOV,,Campo visivo consentito,Campo visivo consentito,Permitir FOV
Allow BFG aiming,GMPLYMNU_BFGFREEAIM,,Mira BFG consentita,Mira BFG consentita,Permitir apuntado de BFG
Allow automap,GMPLYMNU_ALLOWAUTOMAP,,Automap consentito,Automap consentito,Permitir automapa
Automap allies,GMPLYMNU_AUTOMAPALLIES,,Alleati nell'automap,Alleati nell'automap,Aliados en el automapa
Allow spying,GMPLYMNU_ALLOWSPYING,,Spionaggio consentita,Spionaggio consentita,Permitir espiar
Chasecam cheat,GMPLYMNU_CHASECAM,,Cheat camera di inseguimento,Cheat camera di inseguimento,Truco de vista 3era persona
Check ammo for weapon switch,GMPLYMNU_DONTCHECKAMMO,,Controlla le munizioni per il cambio arma,Controlla le munizioni per il cambio arma,Revisar munición para cambiar armas
Icon's death kills its spawns,GMPLYMNU_KILLBOSSSPAWNS,,La morte dell'Icona uccide tutti i suoi figli,La morte dell'Icona uccide tutti i suoi figli,La muerte del icono destruye sus lacayos
End sector counts for kill %,GMPLYMNU_NOCOUNTENDMONSTER,,Conteggio dei nemici da uccidere nel settore in %,Conteggio dei nemici da uccidere nel settore in %,Sector de salida cuenta para % de muertes
Deathmatch Settings,GMPLYMNU_DEATHMATCH,,Impostazioni deathmatch,Impostazioni deathmatch,Configuración modo a muerte
Weapons stay,GMPLYMNU_WEAPONSSTAY,,Le armi rimangono in posizione,Le armi rimangono in posizione,Las armas se quedan
Allow powerups,GMPLYMNU_ALLOWPOWERUPS,,Potenziamenti consentiti,Potenziamenti consentiti,Permitir poderes
Allow health,GMPLYMNU_ALLOWHEALTH,,Oggetti per la salute consentiti,Oggetti per la salute consentiti,Permitir salud
Allow armor,GMPLYMNU_ALLOWARMOR,,Armature consentite,Armature consentite,Permitir armadura
Spawn farthest,GMPLYMNU_SPAWNFARTHEST,,Spawn il più lontano possibile,Spawn il più lontano possibile,Aparecer más lejos
Same map,GMPLYMNU_SAMEMAP,,Stessa mappa,Stessa mappa,Mismo mapa
Force respawn,GMPLYMNU_FORCERESPAWN,,Forza il respawn,Forza il respawn,Forzar reaparición
Allow exit,GMPLYMNU_ALLOWEXIT,,Uscita consentita,Uscita consentita,Permitir salir
Barrels respawn,GMPLYMNU_BARRELSRESPAWN,,Respawn barili esplosivi,Respawn barili esplosivi,Reaparecer barriles
Respawn protection,GMPLYMNU_RESPAWNPROTECTION,,Protezione al respawn,Protezione al respawn,Reaparecer protección
Lose frag if fragged,GMPLYMNU_LOSEFRAG,,Perdere i frag se fraggato,Perdere i frag se fraggato,Perder baja al morir
Keep frags gained,GMPLYMNU_KEEPFRAGS,,Mantenere i frag vinti,Mantenere i frag vinti,Mantener bajas ganadas
No team switching,GMPLYMNU_NOTEAMSWITCH,,Nessun cambio di squadra,Nessun cambio di squadra,No cambiar equipos
Cooperative Settings,GMPLYMNU_COOPERATIVE,,Impostazioni cooperativa,Impostazioni cooperativa,Configuración de cooperativo
Spawn multiplayer weapons,GMPLYMNU_MULTIPLAYERWEAPONS,,Fai apparire le armi di multigiocatore,Fai apparire le armi di multigiocatore,Aparecer armas multi.
Lose entire inventory,GMPLYMNU_LOSEINVENTORY,,Perdere l'inventario,Perdere l'inventario,Perder todo el inventario
Keep keys,GMPLYMNU_KEEPKEYS,,Mantenere le chiavi,Mantenere le chiavi,Mantener llaves
Keep weapons,GMPLYMNU_KEEPWEAPONS,,Mantenere le armi,Mantenere le armi,Mantener armas
Keep armor,GMPLYMNU_KEEPARMOR,,Mantenere l'armatura,Mantenere l'armatura,Mantener armadura
Keep powerups,GMPLYMNU_KEEPPOWERUPS,,Mantenere i potenziamenti,Mantenere i potenziamenti,Mantener poderes
Keep ammo,GMPLYMNU_KEEPAMMO,,Mantenere le ammunizioni,Mantenere le ammunizioni,Mantener munición
Lose half ammo,GMPLYMNU_LOSEHALFAMMO,,Perdere metà ammunizioni,Perdere metà ammunizioni,Perder la mitad de la munición
Spawn where died,GMPLYMNU_SPAWNWHEREDIED,,Respawn nel luogo di morte,Respawn nel luogo di morte,Aparecer donde moriste
Always spawn multiplayer objects,GMPLYMNU_ALWAYSSPAWNMULTI,,Fai sempre apparire gli oggetti di multigiocatore,Fai sempre apparire gli oggetti di multigiocatore,Siempre hacer aparecer objetos en el modo multijugador
Allow Vertical Bullet Spread,GMPLYMNU_NOVERTSPREAD,,Permetti la diffusione dei proiettili in verticale,Permetti la diffusione dei proiettili in verticale,Desparramar balas de todas las armas en vertical
Weapons give extra ammo (DM),GMPLYMNU_NOEXTRAAMMO,,Le armi danno munizioni extra (DM),Le armi danno munizioni extra (DM),Las armas dan munición extra (DM)
Compatibility Options,OPTMNU_COMPATIBILITY,,Opzioni Compatibilità,Opzioni Compatibilità,Opciones de compatibilidad
Compatibility Options,CMPTMNU_TITLE,,Opzioni compatibilità,Opzioni compatibilità,Opciones de compatibilidad
Compatibility mode,CMPTMNU_MODE,,Modalità compatibilità,Modalità compatibilità,Modo de compatibilidad
Actor Behavior,CMPTMNU_ACTORBEHAVIOR,,Comportamento degli attori,Comportamento degli attori,Comportamiento del actor
Friendly monsters aren't blocked,CMPTMNU_NOBLOCKFRIENDS,,I mostri amichevoli non sono bloccati,I mostri amichevoli non sono bloccati,Monstruos amistosos no son bloqueados
Limit Pain Elementals' Lost Souls,CMPTMNU_LIMITPAIN,,Limita le Anime Erranti degli Elementali del dolore,Limita le Anime Erranti degli Elementali del dolore,Limitar Almas Errantes de los Elementales del Dolor
Monster movement is affected by effects,CMPTMNU_MBFMONSTERMOVE,,Il movimento dei mostri è affetto dagli effetti,Il movimento dei mostri è affetto dagli effetti,Los efectos afectan al movimiento de los monstruos
Monsters cannot cross dropoffs,CMPTMNU_CROSSDROPOFF,,I mostri non posso attraversare gli spigoli,I mostri non posso attraversare gli spigoli,Los monstruos no pueden cruzar declives
Monsters get stuck over dropoffs,CMPTMNU_DROPOFF,,I mostri rimangono bloccati sugli spigoli,I mostri rimangono bloccati sugli spigoli,Los monstruos se atascan sobre declives
Monsters see invisible players,CMPTMNU_INVISIBILITY,,I mostri vedono i giocatori invisibili,I mostri vedono i giocatori invisibili,Los monstruos ven jugadores invisibles
No Minotaur floor flames in water,CMPTMNU_MINOTAUR,,Niente fiamme da terra del Minotauro sull'acqua,Niente fiamme da terra del Minotauro sull'acqua,Sin llamas de minotauro en el agua
Spawn item drops on the floor,CMPTMNU_NOTOSSDROPS,,Gli oggetti allo spawn cadono a terra,Gli oggetti allo spawn cadono a terra,Aparecer objetos dejados en el suelo
DehackEd Behavior,CMPTMNU_DEHACKEDBEHAVIOR,,Comportamento DehackEd,Comportamento DehackEd,Comportamiento de DehackEd
DEH health settings like Doom2.exe,CMPTMNU_DEHHEALTH,,Impostazioni di salute DEH come in Doom2.exe,Impostazioni di salute DEH come in Doom2.exe,Configuración de salud DEH como en Doom2.exe
Original A_Mushroom speed in DEH mods,CMPTMNU_MUSHROOM,,Velocità originale di A_Mushroom nei mod DEH,Velocità originale di A_Mushroom nei mod DEH,Velocidad original de A_Mushroom en mods con DEH
Map/Action Behavior,CMPTMNU_MAPACTIONBEHAVIOR,,Comportamento Mappa/Azioni,Comportamento Mappa/Azioni,Comportamiento Mapa/Acción
All special lines can block <use>,CMPTMNU_USEBLOCKING,,Tutte le linee speciali possono bloccare il comando <usa>,Tutte le linee speciali possono bloccare il comando <usa>,Todas las líneas especiales pueden bloquear <usar>
Allow any bossdeath for level special,CMPTMNU_ANYBOSSDEATH,,"Qualunque morte del boss per le azioni speciali consentita
","Qualunque morte del boss per le azioni speciali consentita
",Permitir cualquier muerte de jefe por especial de nivel
Disable BOOM door light effect,CMPTMNU_NODOORLIGHT,,Disabilitato l'effetto Boom della luce della porta,Disabilitato l'effetto Boom della luce della porta,Desactivar efecto de luz de puerta de BOOM
Find neighboring light like Doom,CMPTMNU_LIGHT,,Trova le luci vicine come in DOOM,Trova le luci vicine come in DOOM,Encontrar luces vecinas como en Doom
Find shortest textures like Doom,CMPTMNU_SHORTTEX,,Trova le texture più piccole come in DOOM,Trova le texture più piccole come in DOOM,Encontrar texturas más cortas como en Doom
Use buggier stair building,CMPTMNU_STAIRS,,Usa la struttura a scalinate più buggata,Usa la struttura a scalinate più buggata,Usar construcción defectuosa de escaleras
Use Doom's floor motion behavior,CMPTMNU_FLOORMOVE,,Adotta il comportamento di DOOM per il movimento sul pavimento,Adotta il comportamento di DOOM per il movimento sul pavimento,Usar comportamiento de mov. del suelo de Doom
Use Doom's point-on-line algorithm,CMPTMNU_POINTONLINE,,Usa l'algoritmo del 'punto giacente sulla linea' di DOOM,Usa l'algoritmo del 'punto giacente sulla linea' di DOOM,Usar algoritmo de punto en línea de Doom
Level exit can be triggered more than once,CMPTMNU_MULTIEXIT,,L'uscita del livello può attivarsi più di una volta,L'uscita del livello può attivarsi più di una volta,La salida de nivel puede ser activada más de una vez
Physics Behavior,CMPTMNU_PHYSICSBEHAVIOR,,Comportamento della fisica,Comportamento della fisica,Comportamiento de la física
Actors are infinitely tall,CMPTMNU_NOPASSOVER,,Gli attori sono infinitamente alti,Gli attori sono infinitamente alti,Los actores son infinitamente altos
Boom scrollers are additive,CMPTMNU_BOOMSCROLL,,Le barre di scorrimento BOOM sono additivi,Le barre di scorrimento BOOM sono additivi,Los scrollers de Boom son aditivos
Cannot travel straight NSEW,CMPTMNU_BADANGLES,,Non si può viaggiare esattamente nelle direzioni cardinali,Non si può viaggiare esattamente nelle direzioni cardinali,Emular error de mal ángulo
Enable wall running,CMPTMNU_WALLRUN,,Wall running abilitata,Wall running abilitata,Activar correr por muros
Raven scrollers use original speed,CMPTMNU_RAVENSCROLL,,Le barre di scorrimento Raven usano la velocità originale,Le barre di scorrimento Raven usano la velocità originale,Los scrollers de Raven usan la velocidad original
Self ref. sectors don't block shots,CMPTMNU_TRACE,,Settori autoreferenziati non bloccano i colpi,Settori autoreferenziati non bloccano i colpi,Sectores autoreferidos no bloquean los disparos
Use Doom code for hitscan checks,CMPTMNU_HITSCAN,,Usa il codice DOOM per il controllo sugli hitscan,Usa il codice DOOM per il controllo sugli hitscan,Usar código de Doom para revisión de hitscan
Use Doom heights for missile clipping,CMPTMNU_MISSILECLIP,,Usa le altezze di DOOM per il clipping del razzo,Usa le altezze di DOOM per il clipping del razzo,Usar altura de Doom para desplazamiento de misiles
Rendering Behavior,CMPTMNU_RENDERINGBEHAVIOR,,Comportamento della grafica,Comportamento della grafica,Comportamiento de renderizado
Draw polyobjects like Hexen,CMPTMNU_POLYOBJ,,Polioggetti disegnati come Hexen,Polioggetti disegnati come Hexen,Dibujar poliobjetos como en Hexen
Ignore Y offsets on masked midtextures,CMPTMNU_MASKEDMIDTEX,,Ignora gli offset Y sulle midtexture mascherate,Ignora gli offset Y sulle midtexture mascherate,Ignorar offsets de eje Y en texturas medias enmascaradas
Invert sprite sorting,CMPTMNU_SPRITESORT,,Ordinamento sprite invertito,Ordinamento sprite invertito,Invertir ordenado de sprites
Sound Behavior,CMPTMNU_SOUNDBEHAVIOR,,Comportamento suono,Comportamento suono,Comportamiento de sonido
Cripple sound for silent BFG trick,CMPTMNU_SOUNDSLOTS,,Blocca il suono per il trucco del BFG silenzioso,Blocca il suono per il trucco del BFG silenzioso,Estropear sonido para truco de BFG silencioso
Don't let others hear your pickups,CMPTMNU_SILENTPICKUP,,Non consentire agli altri giocatori di sentire le tue raccolte,Non consentire agli altri giocatori di sentire le tue raccolte,No dejar a otros oír tus recogidas
Inst. moving floors are not silent,CMPTMNU_SILENTINSTANTFLOORS,,I pavimenti istantanei in movimento non sono silenziosi,I pavimenti istantanei in movimento non sono silenziosi,Suelos inst. movibles no son silenciosos
Sector sounds use center as source,CMPTMNU_SECTORSOUNDS,,I suoni usano il centro dei settori come punto di sorgente,I suoni usano il centro dei settori come punto di sorgente,Sonidos de sector usan el centro como fuente
Sounds stop when actor vanishes,CMPTMNU_SOUNDCUTOFF,,I suoni si fermano quando gli attori svaniscono,I suoni si fermano quando gli attori svaniscono,El sonido se detiene cuando el actor desaparece
Use original sound target handling,CMPTMNU_SOUNDTARGET,,Targeting dei suoni in base all'algoritmo originale,Targeting dei suoni in base all'algoritmo originale,Usar manejo de destino de sonido original
Scripted teleports don't trigger sector actions,CMPTMNU_TELEPORT,,I teletrasporti scriptati non attivano le azioni del settore,I teletrasporti scriptati non attivano le azioni del settore,Telepuertos por script no activan acciones del sector
Non-blocking lines can be pushed,CMPTMNU_PUSHWINDOW,,Le linee non bloccanti possono essere spinti,Le linee non bloccanti possono essere spinti,Líneas sin bloquear pueden ser presionadas
Enable buggy CheckSwitchRange behavior,CMPTMNU_CHECKSWITCHRANGE,,Abilita il comportamento buggato del CheckSwitchRange,Abilita il comportamento buggato del CheckSwitchRange,Permitir comportamiento viejo de CheckSwitchRange
Enable buggy Strife railing,CMPTMNU_RAILINGHACK,,Abilita il railing buggato di Strife,Abilita il railing buggato di Strife,Activar barandillas bugueadas de Strife
No vertical thrust from explosions,CMPTMNU_EXPLODE1,,Nessuna spinta verticale dalle esplosioni,Nessuna spinta verticale dalle esplosioni,No causar empuje vertical en explosiones
Use original Doom explosion behavior,CMPTMNU_EXPLODE2,,Usa l'originale comportamento dell'esplosione di DOOM,Usa l'originale comportamento dell'esplosione di DOOM,Usar comportamiento de explosiones del DOOM original
,,,,,
Red,PLYRMNU_RED,,Rosso,Rosso,Rojo
Green,PLYRMNU_GREEN,,Verde,Verde,Verde
Blue,PLYRMNU_BLUE,,Blu,Blu,Azul
Class,PLYRMNU_PLAYERCLASS,,Classe,Classe,Clase
Skin,PLYRMNU_PLAYERSKIN,,,,Aspecto
Switch on pickup,PLYRMNU_SWITCHONPICKUP,,Cambio d'arma quando si riceve,Cambio d'arma quando si riceve,Elegir arma al coger una
Press \cjSPACE,PLYRMNU_PRESSSPACE,,Premi \cjSPAZIO,Premi \cjSPAZIO,Presiona \cjEspacio
to see front,PLYRMNU_SEEFRONT,,per vedere avanti,per vedere avanti,para verte de frente
to see back,PLYRMNU_SEEBACK,,per vedere dietro,per vedere dietro,para verte por detrás
Vertical Bullet Spread,PLYRMNU_VERTSPREAD,,Diffusione dei proiettili in verticale,Diffusione dei proiettili in verticale,Dispersión vertical de la bala
,,,,,
,,,,,
,,,,,
,,,,,
Weapon Zoom,CNTRLMNU_ZOOM,,Zoom dell'arma,Zoom dell'arma,Zoom del arma
Weapon State 1,CNTRLMNU_USER1,,Stato dell'arma 1,Stato dell'arma 1,Estado del arma 1
Weapon State 2,CNTRLMNU_USER2,,Stato dell'arma 2,Stato dell'arma 2,Estado del arma 2
Weapon State 3,CNTRLMNU_USER3,,Stato dell'arma 3,Stato dell'arma 3,Estado del arma 3
Weapon State 4,CNTRLMNU_USER4,,Stato dell'arma 4,Stato dell'arma 4,Estado del arma 4
Fly / Swim up,CNTRLMNU_MOVEUP,,Vola / Nuota in alto,Vola / Nuota in alto,Volar/Nadar arriba
Fly / Swim down,CNTRLMNU_MOVEDOWN,,Vola / Nuota in basso,Vola / Nuota in basso,Volar/Nadar abajo
Stop flying,CNTRLMNU_LAND,,Stop al volo,Stop al volo,Dejar de volar
Keyboard look,CNTRLMNU_KEYBOARDLOOK,,Modalità vista con la tastiera,Modalità vista con la tastiera,Vista con teclado
Strife Popup Screens Controls,CNTRLMNU_POPUPS_TITLE,,Controlli Schermate popup di Strife,Controlli Schermate popup di Strife,Ventanas emergentes de Strife
Team say,CNTRLMNU_TEAMSAY,,Parla nella squadra,Parla nella squadra,Hablar al equipo
Drop item,CNTRLMNU_DROPITEM,,Fai cadere l'oggetto,Fai cadere l'oggetto,Soltar objeto
Query item,CNTRLMNU_QUERYITEM,,Indaga sull'oggetto,Indaga sull'oggetto,Consultar objeto
Drop weapon,CNTRLMNU_DROPWEAPON,,Butta l'arma,Butta l'arma,Soltar arma
,,,,,
Coop spy,CNTRLMNU_COOPSPY,,Spia cooperativa,Spia cooperativa,Espía cooperativo
Strife Popup Screens,CNTRLMNU_POPUPS,,Schermate popup di Strife,Schermate popup di Strife,Ventanas emergentes de Strife
Mission objectives,CNTRLMNU_MISSION,,Obiettivi della missione,Obiettivi della missione,Objetivos de misión
Keys list,CNTRLMNU_KEYS,,Lista delle chiavi,Lista delle chiavi,Lista de llaves
